Matrix Size (n),Seconds,GFLOPS
2000,1.1896123333333335,13.564466000000001
2500,1.258938,24.863794333333335
3000,1.3419163333333335,40.36365266666667
3500,1.2667476666666666,67.74176166666666
4000,1.4587356666666667,88.156026
4500,1.6149096666666667,113.20568666666667
5000,1.7372943333333335,144.52022433333332
5500,1.8401566666666664,181.21768899999998
6000,1.729180333333333,250.21316000000002
6500,1.9244713333333336,287.55602466666664
7000,2.0946116666666668,327.51049166666667
7500,2.003237,422.96025099999997
8000,2.147513,476.894705
8500,2.485034,497.9734826666667
9000,2.5438189999999996,575.0229756666666
9500,2.619964,654.7666330000001
10000,2.889431666666667,692.310728
10500,2.9706273333333333,783.5304080000001
11000,3.1757023333333336,839.8050113333334
11500,3.5380160000000003,860.061073
12000,4.026100333333333,860.7154999999999
12500,4.3163176666666665,910.3023749999999
13000,4.225166333333333,1041.0090786666667
13500,4.663953666666667,1055.4679386666667
14000,5.201757,1060.4099853333335
14500,5.410271000000001,1128.0266463333335
15000,5.4981393333333335,1229.3230376666668
15500,6.913415666666666,1084.947783
16000,7.476278000000001,1095.8995843333332
16500,8.051044333333333,1129.038409
17000,8.568185333333332,1150.0704133333336
17500,7.752261,1384.9308606666666
18000,8.929464000000001,1306.2512096666667
18500,8.790554666666667,1440.780376
19000,10.204718,1347.2071386666667
19500,9.807329333333334,1534.7209486666668
20000,12.778595666666666,1252.3371846666666
